"IN","OUT"
1337,0.689659
1338,0.673582
1339,0.658917
1340,0.647748
1341,0.643275
1342,0.649549
1343,0.670223
1344,0.706426
1345,0.755354
1346,0.81136
1347,0.868635
1348,0.923078
1349,0.972568
1350,1.01638
1351,1.05454
1352,1.08731
1353,1.11501
1354,1.13793
1355,1.15635
1356,1.17068
1357,1.18162
1358,1.19032
1359,1.19847
1360,1.20823
1361,1.22155
1362,1.23897
1363,1.25817
1364,1.27366
1365,1.27871
1366,1.26877
1367,1.24327
1368,1.20476
1369,1.15703
1370,1.10373
1371,1.04786
1372,0.991676
1373,0.936783
1374,0.884223
1375,0.834554
1376,0.787871
1377,0.743825
1378,0.701734
1379,0.660884
1380,0.620973
1381,0.582415
1382,0.546289
1383,0.51409
1384,0.487622
1385,0.469123
1386,0.461477
1387,0.468159
1388,0.492422
1389,0.535494
1390,0.594754
1391,0.663861
1392,0.735215
1393,0.802572
1394,0.862056
1395,0.911812
1396,0.951264
1397,0.980549
1398,1.00026
1399,1.01136
1400,1.01512
1401,1.0131
1402,1.00716
1403,0.999489
1404,0.992697
1405,0.9898
1406,0.993906
1407,1.00749
1408,1.03136
1409,1.06358
1410,1.09897
1411,1.13019
1412,1.15089
1413,1.15856
1414,1.15457
1415,1.1424
1416,1.12592
1417,1.10851
1418,1.09271
1419,1.08017
1420,1.07158
1421,1.0666
1422,1.06385
1423,1.06094
1424,1.05462
1425,1.04127
1426,1.01804
1427,0.984486
1428,0.943192
1429,0.898507
1430,0.854674
1431,0.814922
1432,0.78139
1433,0.755246
1434,0.736761
1435,0.725352
1436,0.719736
1437,0.71822
1438,0.719123
1439,0.721202
1440,0.724043
1441,0.728354
1442,0.736126
1443,0.750495
1444,0.774835
1445,0.810818
1446,0.856592
1447,0.907277
1448,0.957548
1449,1.00377
1450,1.04445
1451,1.07959
1452,1.10998
1453,1.13662
1454,1.16037
1455,1.18188
1456,1.20153
1457,1.21961
1458,1.23638
1459,1.25221
1460,1.26766
1461,1.2832
1462,1.29844
1463,1.3109
1464,1.31556
1465,1.30704
1466,1.28299
1467,1.24493
1468,1.19649
1469,1.14145
1470,1.08284
1471,1.02287
1472,0.963047
1473,0.904414
1474,0.847667
1475,0.793258
1476,0.741439
1477,0.6923
1478,0.64581
1479,0.601912
1480,0.5607
1481,0.522588
1482,0.488403
1483,0.45938
1484,0.437244
1485,0.42441
1486,0.424144
1487,0.440272
1488,0.47584
1489,0.530733
1490,0.600019
1491,0.675285
1492,0.74815
1493,0.812813
1494,0.866412
1495,0.908188
1496,0.938563
1497,0.958532
1498,0.969352
1499,0.97244
1500,0.969355
1501,0.961829
1502,0.951851
1503,0.941784
1504,0.934462
1505,0.933111
1506,0.940857
1507,0.959771
1508,0.989717
1509,1.02744
1510,1.06669
1511,1.10044
1512,1.12412
1513,1.13706
1514,1.14143
1515,1.14055
1516,1.13763
1517,1.13528
1518,1.13524
1519,1.13836
1520,1.14453
1521,1.15281
1522,1.16149
1523,1.16815
1524,1.16958
1525,1.1619
1526,1.14178
1527,1.10861
1528,1.06548
1529,1.01734
1530,0.968673
1531,0.922513
1532,0.880495
1533,0.843131
1534,0.810094
1535,0.780498
1536,0.753193
1537,0.727089
1538,0.701424
1539,0.675946
1540,0.650982
1541,0.627482
1542,0.607142
1543,0.592582
1544,0.587402
1545,0.595623
1546,0.620166
1547,0.660911
1548,0.714051
1549,0.773695
1550,0.834278
1551,0.891897
1552,0.94435
1553,0.990602
1554,1.03026
1555,1.06325
1556,1.08965
1557,1.10972
1558,1.12394
1559,1.13309
1560,1.13836
1561,1.14148
1562,1.14479
1563,1.15099
1564,1.16248
1565,1.18031
1566,1.20295
1567,1.22562
1568,1.24134
1569,1.24388
1570,1.23059
1571,1.20279
1572,1.16404
1573,1.11842
1574,1.0695
1575,1.02001
1576,0.971926
1577,0.926501
1578,0.884332
1579,0.845341
1580,0.808751
1581,0.773231
1582,0.737341
1583,0.700218
1584,0.662106
1585,0.624342
1586,0.58889
1587,0.55793
1588,0.533801
1589,0.519135
1590,0.516877
1591,0.529823
1592,0.559508
1593,0.604929
1594,0.662236
1595,0.72593
1596,0.790676
1597,0.852412
1598,0.908481
1599,0.957212
1600,0.99754
1601,1.02888
1602,1.0512
1603,1.0651
1604,1.07176
1605,1.07281
1606,1.07029
1607,1.06664
1608,1.06461
1609,1.06708
1610,1.07652
1611,1.0943
1612,1.1197
1613,1.14918
1614,1.17631
1615,1.19377
1616,1.19665
1617,1.18446
1618,1.16025
1619,1.12845
1620,1.09325
1621,1.05797
1622,1.02493
1623,0.995503
1624,0.970109
1625,0.948184
1626,0.928168
1627,0.907688
1628,0.884071
1629,0.855235
1630,0.820676
1631,0.781884
1632,0.741761
1633,0.703591
1634,0.670407
1635,0.644873
1636,0.629293
1637,0.625408
1638,0.633972
1639,0.654377
1640,0.684698
1641,0.722262
1642,0.764425
1643,0.809169
1644,0.855299
1645,0.902228
1646,0.949362
1647,0.995371
1648,1.03801
1649,1.07486
1650,1.1044
1651,1.12644
1652,1.14197
1653,1.1528
1654,1.16114
1655,1.16931
1656,1.17937
1657,1.19268
1658,1.20963
1659,1.22936
1660,1.24962
1661,1.26679
1662,1.27634
1663,1.2737
1664,1.25595
1665,1.22326
1666,1.17882
1667,1.12712
1668,1.07229
1669,1.01738
1670,0.964258
1671,0.913813
1672,0.866161
1673,0.820863
1674,0.777197
1675,0.734465
1676,0.692285
1677,0.650742
1678,0.610393
1679,0.572159
1680,0.537252
1681,0.507207
1682,0.484044
1683,0.470457
1684,0.469816
1685,0.485553
1686,0.519666
1687,0.570981
1688,0.63475
1689,0.704295
1690,0.773279
1691,0.836985
1692,0.892465
1693,0.938184
1694,0.973626
1695,0.999012
1696,1.0151
1697,1.02301
1698,1.0242
1699,1.02039
1700,1.01361
1701,1.00635
1702,1.0015
1703,1.00218
1704,1.01116
1705,1.03001
1706,1.05816
1707,1.09206
1708,1.12523
1709,1.15026
1710,1.1624
1711,1.16126
1712,1.14973
1713,1.13185
1714,1.11143
1715,1.09153
1716,1.0743
1717,1.06094
1718,1.05165
1719,1.04556
1720,1.0407
1721,1.03419
1722,1.02255
1723,1.0026
1724,0.972808
1725,0.934486
1726,0.891306
1727,0.847611
1728,0.807084
1729,0.772387
1730,0.745226
1731,0.726408
1732,0.71583
1733,0.712525
1734,0.714873
1735,0.720999
1736,0.729253
1737,0.738669
1738,0.749326
1739,0.762559
1740,0.78088
1741,0.807258
1742,0.843422
1743,0.888031
1744,0.936752
1745,0.984579
1746,1.02803
1747,1.06571
1748,1.09782
1749,1.12536
1750,1.14954
1751,1.17147
1752,1.19188
1753,1.21122
1754,1.22968
1755,1.24735
1756,1.26434
1757,1.28071
1758,1.29625
1759,1.3096
1760,1.3174
1761,1.31454
1762,1.29696
1763,1.26429
1764,1.21949
1765,1.16658
1766,1.10909
1767,1.04959
1768,0.989776
1769,0.930745
1770,0.873207
1771,0.817641
1772,0.764367
1773,0.713589
1774,0.66542
1775,0.619917
1776,0.577175
1777,0.537458
1778,0.501355
1779,0.469856
1780,0.444431
1781,0.427169
1782,0.420973
1783,0.429501
1784,0.456337
1785,0.503015
1786,0.566791
1787,0.640513
1788,0.715411
1789,0.784348
1790,0.843147
1791,0.890185
1792,0.925443
1793,0.949738
1794,0.96427
1795,0.970422
1796,0.969702
1797,0.963764
1798,0.954474
1799,0.94402
1800,0.935029
1801,0.930583
1802,0.93393
1803,0.947736
1804,0.972987
1805,1.00792
1806,1.04752
1807,1.08472
1808,1.1135
1809,1.13144
1810,1.13968
1811,1.1412
1812,1.13934
1813,1.13701
1814,1.13633
1815,1.13852
1816,1.14388
1817,1.15182
1818,1.16094
1819,1.16919
1820,1.17374
1821,1.17099
1822,1.15709
1823,1.12989
1824,1.09082
1825,1.04431
1826,0.995274
1827,0.947466
1828,0.903121
1829,0.863215
1830,0.827761
1831,0.796092
1832,0.767153
1833,0.739818
1834,0.713184
1835,0.68679
1836,0.660718
1837,0.635628
1838,0.612827
1839,0.59444
1840,0.583572
1841,0.584135
1842,0.599846
1843,0.632364
1844,0.679753
1845,0.736934
1846,0.79792
1847,0.857841
1848,0.913599
1849,0.963562
1850,1.007
1851,1.04364
1852,1.07348
1853,1.09667
1854,1.1136
1855,1.1249
1856,1.13156
1857,1.13508
1858,1.13749
1859,1.14139
1860,1.14949
1861,1.16377
1862,1.18427
1863,1.2081
1864,1.22928
1865,1.24068
1866,1.2373
1867,1.21824
1868,1.18602
1869,1.14461
1870,1.09796
1871,1.04933
1872,1.00112
1873,0.955011
